customer_user_id,transaction_date,description,amount,type,category
USR-001,2026-02-14,Salary Credit,45000,credit,Salary
USR-001,2026-02-12,EMI Payment - Home Loan,-15000,debit,EMI
USR-001,2026-02-10,Grocery Shopping - BigBasket,-3500,debit,Food
USR-001,2026-02-08,Electricity Bill Payment,-2500,debit,Utilities
USR-001,2026-02-05,ATM Withdrawal,-5000,debit,Cash
USR-001,2026-02-03,Quick Loan App Transfer,-8000,debit,Lending
USR-001,2026-01-30,Medical Emergency - Apollo,-12000,debit,Health
USR-001,2026-01-25,Credit Card Bill Payment,-6500,debit,Credit Card
USR-001,2026-01-20,Online Shopping - Amazon,-4200,debit,Shopping
USR-001,2026-01-15,Salary Credit,45000,credit,Salary
USR-002,2026-02-14,Salary Credit,75000,credit,Salary
USR-002,2026-02-13,Rent Payment,-25000,debit,Rent
USR-002,2026-02-11,Grocery Shopping,-5500,debit,Food
USR-002,2026-02-09,Car EMI Payment,-18000,debit,EMI
USR-002,2026-02-07,Mutual Fund Investment,-10000,debit,Investment
USR-002,2026-02-05,Dining Out - Restaurant,-3200,debit,Food
USR-002,2026-02-02,Internet Bill,-1200,debit,Utilities
USR-002,2026-01-31,Gym Membership,-2000,debit,Health
USR-002,2026-01-28,Online Course Fee,-5000,debit,Education
USR-002,2026-01-15,Salary Credit,75000,credit,Salary
USR-003,2026-02-14,Salary Credit,95000,credit,Salary
USR-003,2026-02-13,Home Loan EMI,-12000,debit,EMI
USR-003,2026-02-11,Grocery Shopping - Reliance Fresh,-4800,debit,Food
USR-003,2026-02-09,Insurance Premium,-8500,debit,Insurance
USR-003,2026-02-07,Stock Investment,-20000,debit,Investment
USR-003,2026-02-05,Electricity + Water Bill,-3200,debit,Utilities
USR-003,2026-02-02,Movie Tickets,-1500,debit,Entertainment
USR-003,2026-01-30,Restaurant Dinner,-2800,debit,Food
USR-003,2026-01-25,Fuel - Petrol Pump,-3500,debit,Transport
USR-003,2026-01-15,Salary Credit,95000,credit,Salary
USR-004,2026-02-14,Freelance Payment,55000,credit,Salary
USR-004,2026-02-12,Personal Loan EMI - MISSED,-0,debit,EMI
